==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T22:25:51+00:00] GPU free=3917 MiB (need >= 35000)
[2026-08-10T22:26:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:27:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:28:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:29:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:30:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:31:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:32:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:33:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:34:51+00:00] GPU free=8230 MiB (need >= 35000)
[2026-08-10T22:35:51+00:00] GPU free=7375 MiB (need >= 35000)
[2026-08-10T22:36:51+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:37:51+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:38:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:39:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:40:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:41:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:42:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:43:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:44:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:45:52+00:00] GPU free=5271 MiB (need >= 35000)
[2026-08-10T22:46:52+00:00] GPU free=5271 MiB (need >= 35000)
[2026-08-10T22:47:52+00:00] GPU free=5271 MiB (need >= 35000)
[2026-08-10T22:48:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:49:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:50:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:51:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:52:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:53:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:54:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:55:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:56:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:57:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:58:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T22:59:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:00:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:01:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:02:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:03:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:04:52+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:05:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:06:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:07:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:08:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:09:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:10:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:11:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:12:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:13:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:14:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:15:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:16:53+00:00] GPU free=7355 MiB (need >= 35000)
[2026-08-10T23:17:53+00:00] GPU free=7355 MiB (need >= 35000)
